Hendelseskode;Ulykkeskode;Ulykkestittel;Hjelpetekst/beskrivelse;Kommentar;Nye forslag
AR1000 ;MV004;Påkjøring bakfra;Et kjøretøy kjører inn i et annet kjøretøy bakfra. Gjelder også kjedekollisjon.;;
AR1000 ;MV005;Forbikjøring, filskifte og fletting;Skade på kjøretøy i forbindelse med forbikjøring, filskifting eller fletting i samme kjøreretning. Gjelder når et kjøretøy har skadet et annet kjøretøy.;;
AR1000 ;MV007;Rygging;To kjøretøy kolliderer, der minst ett av dem rygger.;;
AR1000 ;MV008;Parkert kjøretøy;Et kjøretøy har vært i bevegelse og kollidert med et parkert kjøretøy. Det kan ha oppstått skade på ett av eller begge kjøretøyene.;;
AR4000 ;MV009;Sammenstøt med myk trafikant;Det har vært sammenstøt med myk trafikant. Dette kan gjerne være en syklist, fotgjenger eller person på elsparkesykkel. Kan både føre til personskade og skade på ting.;;
AR1000 ;MV010;Rundkjøring;Kollisjon med annet kjøretøy i eller på vei inn/ut av en rundkjøring. ;;
AR1000 ;MV012;Front mot front-kollisjon;To kjøretøy som kjører mot hverandre støter sammen, alt fra front mot front til at speilene slår borti hverandre.;;
AR1000 ;MV013;Veikryss;I et veikryss eller ved utkjøring har to kjøretøy vært borti hverandre.;;
AR5000 ;MV014;Kollisjon med trikk eller bybane;Du har kollidert med en trikk eller bybane.;;
AR2000 ;MV015;Unnamanøver for dyr;Du har kjørt av veien eller fått skade etter å ha unnamanøvret for et dyr. Dette skjer gjerne når dyr som rev, elg og rådyr plutselig står på veien og du prøver å unngå å kjøre på dyret.;;
AR3000 ;MV020;Kollisjon med gjenstand;Du er ansvarlig for å ha skadet andres eiendom med ditt kjøretøy, for eksempel en bygning, et gjerde, en postkasse eller lignende.;;
AR3100 ;MV021;Kjøretøy er blitt skadet av en ting;Gjenstander som ikke er andre kjøretøy har skadet kjøretøyet ditt, for eksempel i vaskehall, ved takras eller når løse gjenstander blåser av gårde.;;
AR2000 ;MV022;Kjøretøyet sto parkert og ble skadet;Kjøretøyet sto parkert da skaden oppsto. Skaden kan være forårsaket av et annet kjøretøy der motparten er ukjent, eller av andre forhold som uhell, uvær, hærverk eller lignende.;;
AR2000 ;MV023;Ladekabelen er skadet;Ladekabelen til kjøretøyet har fått skade eller er ødelagt. Ladekabelen kan typisk være brukket, klemt, eller sluttet å fungere.;;
AR2000 ;MV025;Kjørt på vilt eller husdyr;Situasjoner der dyr har vært innvolvert en trafikkhendelse. Kan ha vært både vilt og husdyr. ;;
AR2000 ;MV027;Dyr har skadet parkert kjøretøy;Situasjoner der dyr har vært innvolvert i skaden på kjøretøyet mens det har stått parkert.;;
AR7000 ;MV028;Kjøretøy er stjålet;Kjøretøyet ditt er stjålet.;;
AR2000 ;MV028;Jeg har kjørt borti noe eller av veien;Kun ditt kjøretøy er skadet etter å kjørt borti noe, sklidd av veien, kjørt i autovernet, eller lignende. Dette kan gjerne være kontakt med stolper, kanter eller annet som skraper bilen.;;
AR9300 ;MV029;Rettshjelp ;Det har oppstått en tvist og det trengs hjelp med rettslige spørsmål.;;
AR7000 ;MV029;Tyveri fra kjøretøy;Innbrudd og tyveri fra kjøretøyet. ;;
